Datetime,Room Brightness,Person Status,Dominant Emotion,Person Detected,Other Objects
2024-05-21 14:43:44,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:44,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:44,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:44,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:45,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:45,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:43:45,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:45,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:43:45,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:45,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:46,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:46,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:46,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:46,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:46,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:47,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:47,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:47,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:47,Ярко освещена,Стоит,neutral,Да,
2024-05-21 14:43:47,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:48,Ярко освещена,Сидит,neutral,Да,
2024-05-21 14:43:48,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:48,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:48,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:48,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:48,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:49,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:43:49,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:43:49,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:43:49,Ярко освещена,Стоит,fear,Да,
2024-05-21 14:43:49,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:50,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:50,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:50,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:50,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:50,Ярко освещена,Сидит,fear,Да,
2024-05-21 14:43:51,Ярко освещена,Сидит,fear,Да,
