Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
"{'y': 0.24957477, 'x': 0.73149204, 'confidence': 0.043060362}","{'y': 0.23516132, 'x': 0.7479818, 'confidence': 0.038939893}","{'y': 0.23617372, 'x': 0.7271326, 'confidence': 0.02908321}","{'y': 0.015495178, 'x': 0.59135455, 'confidence': 0.024719993}","{'y': 0.02304436, 'x': 0.5238699, 'confidence': 0.02453157}","{'y': 0.30445725, 'x': 0.5997639, 'confidence': 0.021140303}","{'y': 0.351225, 'x': 0.38142836, 'confidence': 0.02554435}","{'y': 0.44130683, 'x': 0.6699025, 'confidence': 0.025244283}","{'y': 0.43414724, 'x': 0.35593104, 'confidence': 0.023671158}","{'y': 0.5259498, 'x': 0.62026554, 'confidence': 0.013439154}","{'y': 0.5061018, 'x': 0.41715798, 'confidence': 0.016289873}","{'y': 0.5880029, 'x': 0.614346, 'confidence': 0.0421941}","{'y': 0.5660465, 'x': 0.48368117, 'confidence': 0.033134166}","{'y': 0.69074833, 'x': 0.5773633, 'confidence': 0.015826026}","{'y': 0.67207265, 'x': 0.4852044, 'confidence': 0.015074554}","{'y': 0.8999191, 'x': 0.55005336, 'confidence': 0.01973425}","{'y': 0.8539941, 'x': 0.5115674, 'confidence': 0.012760359}"
"{'y': 0.23402934, 'x': 0.48801553, 'confidence': 0.018503523}","{'y': 0.16553879, 'x': 0.5194426, 'confidence': 0.027986122}","{'y': 0.17155094, 'x': 0.45256317, 'confidence': 0.013285333}","{'y': 0.11565516, 'x': 0.5848008, 'confidence': 0.009217996}","{'y': 0.123835124, 'x': 0.4342349, 'confidence': 0.010503524}","{'y': 0.24227521, 'x': 0.6435471, 'confidence': 0.033492524}","{'y': 0.22487025, 'x': 0.41237634, 'confidence': 0.029015876}","{'y': 0.4918812, 'x': 0.7110571, 'confidence': 0.017377967}","{'y': 0.44600645, 'x': 0.4065407, 'confidence': 0.02574718}","{'y': 0.5876153, 'x': 0.649636, 'confidence': 0.013111901}","{'y': 0.554588, 'x': 0.4523338, 'confidence': 0.015543977}","{'y': 0.72842574, 'x': 0.65311337, 'confidence': 0.02840273}","{'y': 0.70279187, 'x': 0.48199382, 'confidence': 0.026280599}","{'y': 0.81864417, 'x': 0.60265076, 'confidence': 0.019624293}","{'y': 0.8027058, 'x': 0.43229645, 'confidence': 0.017985206}","{'y': 0.93993926, 'x': 0.5299993, 'confidence': 0.01390464}","{'y': 0.9193096, 'x': 0.44740042, 'confidence': 0.018511573}"
"{'y': 0.6772928, 'x': 0.46322188, 'confidence': 0.0648949}","{'y': 0.49983427, 'x': 0.48666376, 'confidence': 0.018824775}","{'y': 0.5004474, 'x': 0.48075253, 'confidence': 0.015463451}","{'y': 0.669471, 'x': 0.47534108, 'confidence': 0.05177798}","{'y': 0.6705521, 'x': 0.46046394, 'confidence': 0.051069476}","{'y': 0.7093262, 'x': 0.6817429, 'confidence': 0.06098804}","{'y': 0.67507267, 'x': 0.24744304, 'confidence': 0.07248799}","{'y': 0.7008223, 'x': 0.707196, 'confidence': 0.038912512}","{'y': 0.68642414, 'x': 0.2891458, 'confidence': 0.064474195}","{'y': 0.7112256, 'x': 0.7056754, 'confidence': 0.03592258}","{'y': 0.7009272, 'x': 0.3031471, 'confidence': 0.04905655}","{'y': 0.69739133, 'x': 0.23947893, 'confidence': 0.06425598}","{'y': 0.698438, 'x': 0.23091137, 'confidence': 0.0693778}","{'y': 0.7127187, 'x': 0.2715292, 'confidence': 0.06309697}","{'y': 0.7139386, 'x': 0.26745006, 'confidence': 0.05747128}","{'y': 0.7230782, 'x': 0.4772161, 'confidence': 0.019788167}","{'y': 0.72340345, 'x': 0.46139476, 'confidence': 0.021406576}"
"{'y': 0.33472618, 'x': 0.5327669, 'confidence': 0.028450219}","{'y': 0.32676768, 'x': 0.5382764, 'confidence': 0.048631795}","{'y': 0.32817945, 'x': 0.5252935, 'confidence': 0.035988368}","{'y': 0.34352642, 'x': 0.57577527, 'confidence': 0.05251899}","{'y': 0.33799237, 'x': 0.520392, 'confidence': 0.023615094}","{'y': 0.42468297, 'x': 0.58523, 'confidence': 0.062230263}","{'y': 0.41538644, 'x': 0.4851966, 'confidence': 0.0605815}","{'y': 0.4771913, 'x': 0.61745065, 'confidence': 0.04326027}","{'y': 0.421009, 'x': 0.47077596, 'confidence': 0.04218584}","{'y': 0.408994, 'x': 0.5918973, 'confidence': 0.049966082}","{'y': 0.38547614, 'x': 0.51841855, 'confidence': 0.05530876}","{'y': 0.51772213, 'x': 0.5690906, 'confidence': 0.061170842}","{'y': 0.49397874, 'x': 0.5101103, 'confidence': 0.06873833}","{'y': 0.3895618, 'x': 0.5182041, 'confidence': 0.047231987}","{'y': 0.3904194, 'x': 0.502849, 'confidence': 0.05403189}","{'y': 0.57611644, 'x': 0.5321455, 'confidence': 0.040446468}","{'y': 0.5749136, 'x': 0.5320745, 'confidence': 0.038787857}"
"{'y': 0.37455505, 'x': 0.7708375, 'confidence': 0.087927304}","{'y': 0.3727386, 'x': 0.7702452, 'confidence': 0.08513592}","{'y': 0.374334, 'x': 0.7689595, 'confidence': 0.0897428}","{'y': 0.37854648, 'x': 0.7690273, 'confidence': 0.07045161}","{'y': 0.37970206, 'x': 0.76424605, 'confidence': 0.0815391}","{'y': 0.38846081, 'x': 0.77080995, 'confidence': 0.091812976}","{'y': 0.39061776, 'x': 0.76439726, 'confidence': 0.08061249}","{'y': 0.3786924, 'x': 0.7746361, 'confidence': 0.08089716}","{'y': 0.37986347, 'x': 0.7617415, 'confidence': 0.065536246}","{'y': 0.38634756, 'x': 0.76943433, 'confidence': 0.037230205}","{'y': 0.3849549, 'x': 0.7529239, 'confidence': 0.046276513}","{'y': 0.39830726, 'x': 0.7684318, 'confidence': 0.06459259}","{'y': 0.40253162, 'x': 0.7631485, 'confidence': 0.07276216}","{'y': 0.40000954, 'x': 0.7666081, 'confidence': 0.06977265}","{'y': 0.40126112, 'x': 0.7633657, 'confidence': 0.0691204}","{'y': 0.41386953, 'x': 0.7617573, 'confidence': 0.07909779}","{'y': 0.41203475, 'x': 0.7588603, 'confidence': 0.06781295}"
"{'y': 0.18986371, 'x': 0.5491415, 'confidence': 0.011480053}","{'y': 0.16471039, 'x': 0.5552409, 'confidence': 0.014911631}","{'y': 0.18303947, 'x': 0.50263816, 'confidence': 0.014411194}","{'y': 0.16707583, 'x': 0.5790232, 'confidence': 0.016252816}","{'y': 0.18896721, 'x': 0.50172865, 'confidence': 0.011421537}","{'y': 0.2569389, 'x': 0.57530934, 'confidence': 0.032973796}","{'y': 0.253784, 'x': 0.49308842, 'confidence': 0.026926572}","{'y': 0.24790889, 'x': 0.55598015, 'confidence': 0.08878545}","{'y': 0.33853313, 'x': 0.448245, 'confidence': 0.04047492}","{'y': 0.31242976, 'x': 0.6045309, 'confidence': 0.07779337}","{'y': 0.410006, 'x': 0.4651614, 'confidence': 0.03646941}","{'y': 0.5182004, 'x': 0.5966242, 'confidence': 0.038167175}","{'y': 0.51258993, 'x': 0.5144688, 'confidence': 0.027085518}","{'y': 0.53948396, 'x': 0.53475416, 'confidence': 0.050211366}","{'y': 0.5398123, 'x': 0.41580206, 'confidence': 0.039219044}","{'y': 0.7814809, 'x': 0.16932362, 'confidence': 0.06412073}","{'y': 0.7823711, 'x': 0.17120007, 'confidence': 0.050959542}"
"{'y': 0.046883512, 'x': 0.50201315, 'confidence': 0.10344855}","{'y': 0.03856397, 'x': 0.4720132, 'confidence': 0.089623675}","{'y': 0.038607102, 'x': 0.46086645, 'confidence': 0.07871036}","{'y': 0.20658912, 'x': 0.52704656, 'confidence': 0.050008688}","{'y': 0.028614035, 'x': 0.43738428, 'confidence': 0.08734081}","{'y': 0.32550734, 'x': 0.5349771, 'confidence': 0.045205913}","{'y': 0.34424433, 'x': 0.41230983, 'confidence': 0.04081067}","{'y': 0.376254, 'x': 0.568424, 'confidence': 0.05421681}","{'y': 0.34610024, 'x': 0.39405215, 'confidence': 0.053806268}","{'y': 0.3613403, 'x': 0.5577714, 'confidence': 0.043539226}","{'y': 0.33391336, 'x': 0.44936034, 'confidence': 0.040469717}","{'y': 0.49353656, 'x': 0.5422649, 'confidence': 0.08287645}","{'y': 0.49454513, 'x': 0.46096283, 'confidence': 0.10540758}","{'y': 0.48917487, 'x': 0.59571064, 'confidence': 0.11642196}","{'y': 0.4963355, 'x': 0.4056981, 'confidence': 0.08450759}","{'y': 0.5717333, 'x': 0.61673373, 'confidence': 0.07685316}","{'y': 0.59079176, 'x': 0.42460766, 'confidence': 0.11072142}"
"{'y': 0.48558906, 'x': 0.50551707, 'confidence': 0.039679896}","{'y': 0.46081617, 'x': 0.50933313, 'confidence': 0.060693465}","{'y': 0.46223766, 'x': 0.5068677, 'confidence': 0.048781317}","{'y': 0.44692418, 'x': 0.51152664, 'confidence': 0.03703042}","{'y': 0.4479654, 'x': 0.48709872, 'confidence': 0.034459557}","{'y': 0.49491164, 'x': 0.52883834, 'confidence': 0.028578425}","{'y': 0.49547097, 'x': 0.4853556, 'confidence': 0.034233555}","{'y': 0.52774704, 'x': 0.58889216, 'confidence': 0.019392183}","{'y': 0.5414097, 'x': 0.48889944, 'confidence': 0.024352646}","{'y': 0.5483335, 'x': 0.5795515, 'confidence': 0.024229491}","{'y': 0.5714659, 'x': 0.5063331, 'confidence': 0.019677943}","{'y': 0.5516876, 'x': 0.5317518, 'confidence': 0.027550241}","{'y': 0.5758694, 'x': 0.5038239, 'confidence': 0.02391428}","{'y': 0.5689698, 'x': 0.5066851, 'confidence': 0.018650196}","{'y': 0.5695352, 'x': 0.48057008, 'confidence': 0.021191755}","{'y': 0.6935559, 'x': 0.5291032, 'confidence': 0.016241934}","{'y': 0.69417053, 'x': 0.51087314, 'confidence': 0.012687162}"
"{'y': 0.43406683, 'x': 0.6027209, 'confidence': 0.042191584}","{'y': 0.4324475, 'x': 0.602274, 'confidence': 0.06257363}","{'y': 0.40926814, 'x': 0.51427716, 'confidence': 0.02610406}","{'y': 0.440554, 'x': 0.6026841, 'confidence': 0.04321125}","{'y': 0.4388787, 'x': 0.5956387, 'confidence': 0.04870262}","{'y': 0.44901675, 'x': 0.60969234, 'confidence': 0.053128768}","{'y': 0.44883502, 'x': 0.6040486, 'confidence': 0.051436882}","{'y': 0.469176, 'x': 0.62241083, 'confidence': 0.057386637}","{'y': 0.44858676, 'x': 0.60450035, 'confidence': 0.04239199}","{'y': 0.48603675, 'x': 0.6148552, 'confidence': 0.036176614}","{'y': 0.44816774, 'x': 0.60036385, 'confidence': 0.03742717}","{'y': 0.46521392, 'x': 0.62320805, 'confidence': 0.05386652}","{'y': 0.46825087, 'x': 0.6186258, 'confidence': 0.055606868}","{'y': 0.47315568, 'x': 0.6255179, 'confidence': 0.062071167}","{'y': 0.47478554, 'x': 0.61740065, 'confidence': 0.06639314}","{'y': 0.49581763, 'x': 0.6174421, 'confidence': 0.06408007}","{'y': 0.49427286, 'x': 0.61567724, 'confidence': 0.050745036}"
"{'y': 0.21946628, 'x': 0.52071446, 'confidence': 0.03854873}","{'y': 0.20899008, 'x': 0.5340809, 'confidence': 0.042235807}","{'y': 0.2212811, 'x': 0.43134022, 'confidence': 0.01633552}","{'y': 0.19903105, 'x': 0.6070204, 'confidence': 0.029265745}","{'y': 0.18204996, 'x': 0.41465127, 'confidence': 0.014637869}","{'y': 0.3152507, 'x': 0.646939, 'confidence': 0.041621763}","{'y': 0.29164818, 'x': 0.34945592, 'confidence': 0.044589512}","{'y': 0.60119367, 'x': 0.88071924, 'confidence': 0.10439408}","{'y': 0.41767225, 'x': 0.29055375, 'confidence': 0.026712826}","{'y': 0.6122195, 'x': 0.8842053, 'confidence': 0.0981471}","{'y': 0.5012518, 'x': 0.36509013, 'confidence': 0.013209886}","{'y': 0.65997654, 'x': 0.619441, 'confidence': 0.037864313}","{'y': 0.6389066, 'x': 0.40809503, 'confidence': 0.023341801}","{'y': 0.7051724, 'x': 0.57316804, 'confidence': 0.021829758}","{'y': 0.6290391, 'x': 0.8744278, 'confidence': 0.11978294}","{'y': 0.9181681, 'x': 0.48775095, 'confidence': 0.013690141}","{'y': 0.9014227, 'x': 0.40603223, 'confidence': 0.012013467}"
